Temperature - (Celsius),Year,Statistics,Country,ISO3
5.58,1949,Feb Average,Belgium,BEL
6.8,1949,Mar Average,Belgium,BEL
7.77,1949,Apr Average,Belgium,BEL
13.52,1949,May Average,Belgium,BEL
18.0,1949,Jun Average,Belgium,BEL
18.6,1949,Jul Average,Belgium,BEL
17.96,1949,Aug Average,Belgium,BEL
13.82,1949,Sep Average,Belgium,BEL
9.75,1949,Oct Average,Belgium,BEL
6.05,1949,Nov Average,Belgium,BEL
-0.33,1949,Dec Average,Belgium,BEL
3.76,1950,Jan Average,Belgium,BEL
3.85,1950,Feb Average,Belgium,BEL
4.18,1950,Mar Average,Belgium,BEL
7.44,1950,Apr Average,Belgium,BEL
11.83,1950,May Average,Belgium,BEL
15.13,1950,Jun Average,Belgium,BEL
17.08,1950,Jul Average,Belgium,BEL
16.73,1950,Aug Average,Belgium,BEL
15.34,1950,Sep Average,Belgium,BEL
8.87,1950,Oct Average,Belgium,BEL
8.12,1950,Nov Average,Belgium,BEL
3.96,1950,Dec Average,Belgium,BEL
1.99,1951,Jan Average,Belgium,BEL
1.77,1951,Feb Average,Belgium,BEL
5.78,1951,Mar Average,Belgium,BEL
10.83,1951,Apr Average,Belgium,BEL
13.64,1951,May Average,Belgium,BEL
15.82,1951,Jun Average,Belgium,BEL
18.37,1951,Jul Average,Belgium,BEL
17.78,1951,Aug Average,Belgium,BEL
11.43,1951,Sep Average,Belgium,BEL
8.59,1951,Oct Average,Belgium,BEL
3.25,1951,Nov Average,Belgium,BEL
1.58,1951,Dec Average,Belgium,BEL
0.36,1952,Jan Average,Belgium,BEL
1.9,1952,Feb Average,Belgium,BEL
5.72,1952,Mar Average,Belgium,BEL
9.16,1952,Apr Average,Belgium,BEL
13.62,1952,May Average,Belgium,BEL
15.47,1952,Jun Average,Belgium,BEL
16.97,1952,Jul Average,Belgium,BEL
17.12,1952,Aug Average,Belgium,BEL
14.44,1952,Sep Average,Belgium,BEL
11.5,1952,Oct Average,Belgium,BEL
6.3,1952,Nov Average,Belgium,BEL
5.22,1952,Dec Average,Belgium,BEL
-0.54,1953,Jan Average,Belgium,BEL
-0.12,1953,Feb Average,Belgium,BEL
6.33,1953,Mar Average,Belgium,BEL
6.97,1953,Apr Average,Belgium,BEL
12.68,1953,May Average,Belgium,BEL
15.27,1953,Jun Average,Belgium,BEL
14.79,1953,Jul Average,Belgium,BEL
16.07,1953,Aug Average,Belgium,BEL
